상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
지니크,비알코올 ,카페,커피 전문점,용신동,37.5776151500004,127.028015987408
안돈48고대점,한식,백반/한정식,한식 일반 음식점업,안암동,37.5860241894929,127.030488203016
혼부라더스,한식,백반/한정식,한식 일반 음식점업,용신동,37.5736784281592,127.031406766583
미채담샤브정홈플러스,한식,백반/한정식,한식 일반 음식점업,용신동,37.5745404145486,127.03875415289
김민혁커피,비알코올 ,카페,커피 전문점,동선동,37.5909423601084,127.020482528016
동원수산시장서민초밥,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5917677641844,127.013564410415
호파스타생면파스타,서양식,파스타/스테이크,서양식 음식점업,동선동,37.5906435281071,127.019218237884
타이완밀카,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.5943815672248,127.015817322862
미약소주,주점,요리 주점,기타 주점업,안암동,37.5851692059002,127.029514238514
던킨도너츠,기타 간이,빵/도넛,제과점업,용신동,37.5777417925624,127.032463623153
완산골,한식,백반/한정식,한식 일반 음식점업,용신동,37.5749584205419,127.030371306023
호랑이소고기국밥,한식,돼지고기 구이/찜,한식 일반 음식점업,용신동,37.576552062677,127.033520563293
백미향마라탕,중식,마라탕/훠궈,중식 음식점업,동선동,37.5905140085385,127.018812300442
우리상회,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5854778867358,127.010261996162
교촌치킨한성대점,기타 간이,치킨,치킨 전문점,삼선동,37.5900006082114,127.010202106819
연안식당,한식,백반/한정식,한식 해산물 요리 전문점,종암동,37.6006055602691,127.034092820112
경양카츠제기점,일식,일식 카레/돈가스/덮밥,서양식 음식점업,용신동,37.5777417925624,127.032463623153
토담,한식,백반/한정식,한식 일반 음식점업,안암동,37.586920484641,127.02991044186
이모네식당,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,용신동,37.5784333336053,127.027801565752
어사출또성신여대역점,한식,횟집,한식 해산물 요리 전문점,동선동,37.5911428464104,127.017501859668
윌리하우스,서양식,경양식,서양식 음식점업,청량리동,37.584652170549,127.049018094017
왕쓰브,중식,중국집,중식 음식점업,삼선동,37.5884652129792,127.016234919867
송학삼계탕,한식,국/탕/찌개류,한식 일반 음식점업,청량리동,37.5800393456361,127.043506497653
Good&Pig착한돼지집,한식,돼지고기 구이/찜,한식 육류 요리 전문점,삼선동,37.588951348527,127.011869161595
탐관오리,한식,백반/한정식,한식 일반 음식점업,안암동,37.5860003808018,127.028688221803
헬로우크로플,기타 간이,빵/도넛,제과점업,동선동,37.5914623695386,127.020169980807
섭지코지마씸,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5907063569448,127.013782238792
성식이네닭발,주점,요리 주점,기타 주점업,동선동,37.5915158681173,127.016851521788
죠스떡볶이고대,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,안암동,37.5833678717958,127.02960555664
뼈사부,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5867523796281,127.009667664388
삼청당.고대안암점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,안암동,37.5851840851654,127.031325638259
셀렉토커피,비알코올 ,카페,커피 전문점,용신동,37.5745914341886,127.026289237799
수연칼국수,한식,국수/칼국수,한식 면 요리 전문점,용신동,37.5766510073258,127.037911897522
라브리사커피,비알코올 ,카페,커피 전문점,삼선동,37.590897370971,127.012919146899
엠브로돈까스고대점,서양식,경양식,서양식 음식점업,종암동,37.5957304010872,127.03512971051
흥부네산꼼장어,한식,횟집,한식 해산물 요리 전문점,삼선동,37.5919463821043,127.015532335978
우리끼리포차,주점,요리 주점,기타 주점업,종암동,37.6030516877451,127.03132050299
고기여행,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5778452413965,127.038507884612
브라운돈까스,서양식,경양식,한식 일반 음식점업,삼선동,37.587952851224,127.017464532688
번트,서양식,경양식,서양식 음식점업,안암동,37.5862094091591,127.021269198489
최대패,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.592085347415,127.017070499919
크레이지웍,중식,중국집,중식 음식점업,삼선동,37.5890373742814,127.017857905054
바이해니,비알코올 ,카페,기타 비알코올 음료점업,청량리동,37.5865372894391,127.047023965853
다정소반,일식,일식 회/초밥,일식 음식점업,안암동,37.5866316236233,127.029846254673
아구좋아해물좋아,한식,백반/한정식,한식 일반 음식점업,용신동,37.5753554100228,127.024966058338
청기와,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5891762476673,127.017221989421
커피베이,비알코올 ,카페,커피 전문점,청량리동,37.5868183666527,127.04167606075
써브웨이,기타 간이,토스트/샌드위치/샐러드,"피자, 햄버거, 샌드위치 및 유사 음식점업",종암동,37.6000848654142,127.034326046237
한상차림밥상,한식,국수/칼국수,한식 면 요리 전문점,안암동,37.5843397626554,127.021814504227
금한우,한식,소고기 구이/찜,한식 육류 요리 전문점,동선동,37.5896784563869,127.018019327698
족발야시장,한식,족발/보쌈,한식 일반 음식점업,동선동,37.5906812923192,127.017258815189
그릭데이고려대점,비알코올 ,카페,기타 비알코올 음료점업,안암동,37.5842325010814,127.029560366075
애정마라샹궈,중식,마라탕/훠궈,중식 음식점업,동선동,37.5921676578554,127.017216622865
코알라키친,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5897941108488,127.014598219279
바유,기타 간이,빵/도넛,제과점업,청량리동,37.5860789681944,127.050528494502
메이,주점,요리 주점,기타 주점업,동선동,37.5914929884552,127.017350052378
팔등심,한식,돼지고기 구이/찜,한식 육류 요리 전문점,종암동,37.5926647431044,127.035973267826
